property_id,property_name,city,county,state,gross_floor_area_sqft,units,annual_electricity_kwh,annual_natural_gas_therms,scope2_electricity_emissions_tco2e,scope1_natural_gas_emissions_tco2e,total_scope1_scope2_emissions_tco2e,emissions_intensity_kgco2e_sqft,emissions_per_unit_tco2e,carbon_performance_flag
WI-MF-02,Lakeview Terrace,Milwaukee,Milwaukee,WI,220000,240,1622015.0,90298.0,856.065454685,479.6133121,1335.6787667849999,6.07126712175,5.565328194937499,High Carbon Intensity
WI-MF-06,South Park Apartments,Racine,Racine,WI,185000,210,1394876.0,77653.0,736.186260404,412.45002685,1148.6362872539999,6.2088447959675666,5.469696605971428,High Carbon Intensity
WI-MF-10,Harbor Point Apartments,Kenosha,Kenosha,WI,160000,175,1120844.0,62399.0,591.5579254759999,331.42916855,922.9870940259999,5.768669337662499,5.274211965862857,Moderate Carbon Intensity
WI-MF-01,Riverbend Apartments,Madison,Dane,WI,165000,180,1131188.0,56939.0,597.017271452,302.42865155,899.445923002,5.451187412133333,4.996921794455555,Moderate Carbon Intensity
WI-MF-09,Capitol Square Homes,Madison,Dane,WI,175000,190,1169146.0,42358.0,617.050706734,224.98239909999998,842.0331058339999,4.811617747622857,4.431753188599999,Lower Carbon Intensity
WI-MF-03,Northside Commons,Green Bay,Brown,WI,145000,160,980726.0,45270.0,517.606587554,240.44934149999997,758.055929054,5.227971924510345,4.7378495565875,Moderate Carbon Intensity
WI-MF-07,Fox River Flats,Appleton,Outagamie,WI,135000,150,907943.0,38951.0,479.19324859700004,206.88628895,686.079537547,5.0820706484962965,4.573863583646666,Moderate Carbon Intensity
WI-MF-04,Badger Ridge Homes,Wausau,Marathon,WI,120000,130,837617.0,45461.0,442.076662643,241.46382845,683.540491093,5.696170759108334,5.258003777638462,Moderate Carbon Intensity
WI-MF-08,Prairie View Residences,La Crosse,La Crosse,WI,110000,120,760039.0,37317.0,401.13262338100003,198.20737964999998,599.340003031,5.4485454821,4.994500025258334,Moderate Carbon Intensity
WI-MF-05,Oak Street Lofts,Eau Claire,Eau Claire,WI,98000,105,642364.0,25318.0,339.026229556,134.4752911,473.50152065599997,4.831648169959183,4.5095382919619045,Lower Carbon Intensity
