property_id,property_name,city,county,state,property_type,year_built,gross_floor_area_sqft,units,occupancy_rate,affordable_units_pct,annual_electricity_kwh,annual_natural_gas_therms,annual_electricity_cost_usd,annual_gas_cost_usd,months_with_energy_data,annual_total_energy_cost_usd,annual_water_gallons,annual_water_cost_usd,annual_sewer_cost_usd,months_with_water_data,annual_total_water_sewer_cost_usd,annual_landfill_tons,annual_recycling_tons,annual_compost_tons,annual_waste_cost_usd,months_with_waste_data,annual_total_waste_tons,diverted_waste_tons,waste_diversion_rate,electricity_kbtu,natural_gas_kbtu,total_energy_kbtu,site_eui_kbtu_sqft,energy_cost_per_unit,water_cost_per_unit,waste_cost_per_unit,total_utility_cost_per_unit,energy_performance_flag,waste_diversion_flag,utility_cost_flag
WI-MF-01,Riverbend Apartments,Madison,Dane,WI,Multifamily,1988,165000,180,0.94,0.25,1131188.0,56939.0,164022.23,62632.9,12,226655.13,10522523.0,46404.35,56348.11,12,102752.45999999999,114.64,30.04,2.73,24295.0,12,147.41,32.769999999999996,0.22230513533681567,3859613.456,5693900.0,9553513.456,57.90008155151515,1259.1951666666666,570.847,134.97222222222223,1965.0143888888888,Moderate/Lower Energy Use,Weak Diversion,High Utility Cost
WI-MF-02,Lakeview Terrace,Milwaukee,Milwaukee,WI,Multifamily,1975,220000,240,0.91,0.6,1622015.0,90298.0,235192.16,99327.8,12,334519.96,16912945.0,79558.5,96606.74,12,176165.24,163.27,30.64,6.04,32107.0,12,199.95000000000002,36.68,0.18344586146536632,5534315.18,9029800.0,14564115.18,66.20052354545454,1393.8331666666668,734.0218333333333,133.77916666666667,2261.6341666666667,High Energy Use,Weak Diversion,High Utility Cost
WI-MF-03,Northside Commons,Green Bay,Brown,WI,Multifamily,1995,145000,160,0.96,0.15,980726.0,45270.0,142205.25,49797.0,12,192002.25,9183536.0,37799.44,45899.32,12,83698.76000000001,95.26,35.34,0.0,21834.0,12,130.60000000000002,35.34,0.2705972434915773,3346237.1119999997,4527000.0,7873237.112,54.298186979310344,1200.0140625,523.11725,136.4625,1859.5938125,Moderate/Lower Energy Use,Weak Diversion,High Utility Cost
WI-MF-04,Badger Ridge Homes,Wausau,Marathon,WI,Multifamily,1982,120000,130,0.93,0.4,837617.0,45461.0,121454.45999999999,50007.1,12,171461.56,8202206.0,32382.31,39321.36,12,71703.67,85.29,23.91,0.0,18459.0,12,109.2,23.91,0.21895604395604396,2857949.204,4546100.0,7404049.204,61.700410033333334,1318.9350769230768,551.5666923076923,141.9923076923077,2012.494076923077,High Energy Use,Weak Diversion,High Utility Cost
WI-MF-05,Oak Street Lofts,Eau Claire,Eau Claire,WI,Multifamily,2008,98000,105,0.97,0.1,642364.0,25318.0,93142.75,27849.8,12,120992.55,5193150.0,20938.79,25425.67,12,46364.46,62.72,22.15,2.0100000000000002,14911.0,12,86.88000000000001,24.16,0.2780847145488029,2191745.968,2531800.0,4723545.968,48.199448653061225,1152.31,441.5662857142857,142.0095238095238,1735.8858095238095,Moderate/Lower Energy Use,Weak Diversion,High Utility Cost
WI-MF-06,South Park Apartments,Racine,Racine,WI,Multifamily,1970,185000,210,0.89,0.55,1394876.0,77653.0,202257.01,85418.3,12,287675.31,14619915.0,66315.92,80526.49,12,146842.41,141.36,37.73,0.0,28952.0,12,179.09,37.73,0.21067619632586965,4759316.912,7765300.0,12524616.912,67.70063195675677,1369.8824285714286,699.2495714285715,137.86666666666667,2206.998666666667,High Energy Use,Weak Diversion,High Utility Cost
WI-MF-07,Fox River Flats,Appleton,Outagamie,WI,Multifamily,2001,135000,150,0.95,0.2,907943.0,38951.0,131651.71,42846.1,12,174497.81,7690698.0,31331.91,38045.88,12,69377.79,87.67,31.75,0.0,20402.0,12,119.42,31.75,0.26586836375816447,3097901.516,3895100.0,6993001.516,51.800011229629625,1163.3187333333333,462.51859999999994,136.01333333333332,1761.8506666666665,Moderate/Lower Energy Use,Weak Diversion,High Utility Cost
WI-MF-08,Prairie View Residences,La Crosse,La Crosse,WI,Multifamily,1990,110000,120,0.92,0.35,760039.0,37317.0,110205.61,41048.7,12,151254.31,6879158.0,27447.84,33329.51,12,60777.350000000006,67.62,24.9,0.0,15752.0,12,92.52000000000001,24.9,0.26913099870298307,2593253.068,3731700.0,6324953.068,57.49957334545454,1260.4525833333332,506.4779166666667,131.26666666666668,1898.1971666666666,Moderate/Lower Energy Use,Weak Diversion,High Utility Cost
WI-MF-09,Capitol Square Homes,Madison,Dane,WI,Multifamily,2015,175000,190,0.98,0.05,1169146.0,42358.0,169526.15,46593.8,12,216119.95,8707887.0,38401.79,46630.74,12,85032.53,105.34,49.69,2.85,26278.0,12,157.88,52.54,0.33278439321003295,3989126.152,4235800.0,8224926.152,46.99957801142857,1137.4734210526317,447.53963157894736,138.30526315789473,1723.3183157894737,Moderate/Lower Energy Use,Moderate/Strong Diversion,High Utility Cost
WI-MF-10,Harbor Point Apartments,Kenosha,Kenosha,WI,Multifamily,1980,160000,175,0.9,0.5,1120844.0,62399.0,162522.35,68638.9,12,231161.25,11839474.0,53206.6,64608.01,12,117814.61,112.2,29.37,0.0,23732.0,12,141.57,29.37,0.20745920745920748,3824319.728,6239900.0,10064219.728,62.9013733,1320.9214285714286,673.2263428571429,135.61142857142858,2129.7592,High Energy Use,Weak Diversion,High Utility Cost
