property_id,property_name,annual_landfill_tons,annual_recycling_tons,annual_compost_tons,annual_waste_cost_usd,months_with_waste_data,annual_total_waste_tons,diverted_waste_tons,waste_diversion_rate
WI-MF-01,Riverbend Apartments,114.64,30.04,2.73,24295.0,12,147.41,32.769999999999996,0.22230513533681567
WI-MF-02,Lakeview Terrace,163.27,30.64,6.04,32107.0,12,199.95000000000002,36.68,0.18344586146536632
WI-MF-03,Northside Commons,95.26,35.34,0.0,21834.0,12,130.60000000000002,35.34,0.2705972434915773
WI-MF-04,Badger Ridge Homes,85.29,23.91,0.0,18459.0,12,109.2,23.91,0.21895604395604396
WI-MF-05,Oak Street Lofts,62.72,22.15,2.0100000000000002,14911.0,12,86.88000000000001,24.16,0.2780847145488029
WI-MF-06,South Park Apartments,141.36,37.73,0.0,28952.0,12,179.09,37.73,0.21067619632586965
WI-MF-07,Fox River Flats,87.67,31.75,0.0,20402.0,12,119.42,31.75,0.26586836375816447
WI-MF-08,Prairie View Residences,67.62,24.9,0.0,15752.0,12,92.52000000000001,24.9,0.26913099870298307
WI-MF-09,Capitol Square Homes,105.34,49.69,2.85,26278.0,12,157.88,52.54,0.33278439321003295
WI-MF-10,Harbor Point Apartments,112.2,29.37,0.0,23732.0,12,141.57,29.37,0.20745920745920748
